SN,"Enrl. No.",Grade
,,
,,
1,2016KUCP1001,BB
2,2016KUCP1002,BB
3,2016KUCP1003,AB
4,2016KUCP1004,AA
5,2016KUCP1005,AB
6,2016KUCP1006,BC
7,2016KUCP1007,AA
8,2016KUCP1008,AB
9,2016KUCP1009,F
10,2016KUCP1010,AB
11,2016KUCP1011,AB
12,2016KUCP1012,AA
13,2016KUCP1013,BB
14,2016KUCP1014,BB
15,2016KUCP1015,AB
16,2016KUCP1016,BB
17,2016KUCP1017,BB
18,2016KUCP1018,AA
19,2016KUCP1019,AA
20,2016KUCP1020,BB
21,2016KUCP1021,BB
22,2016KUCP1023,AB
23,2016KUCP1024,BC
24,2016KUCP1025,BC
25,2016KUCP1026,BB
26,2016KUCP1027,BB
27,2016KUCP1028,BC
28,2016KUCP1029,CC
29,2016KUCP1030,F
30,2016KUCP1032,BC
31,2016KUCP1033,AB
32,2016KUCP1034,CC
33,2016KUCP1035,BB
34,2016KUCP1037,BC
35,2016KUCP1038,BC
36,2016KUCP1039,BB
37,2016KUCP1040,BB
38,2016KUCP1041,CD
39,2016KUCP1042,AB
40,2016KUCP1043,AB
41,2016KUCP1044,AB
42,2016KUCP1045,CC
43,2016KUCP1046,CC
44,2016KUCP1047,CC
45,2016KUCP1049,BC
46,2016KUCP1050,CC
47,2015KUCP1033,CD
48,2015KUCP1051,D
